OTU_ID,Atom02_1,Atom02_2,Atom02_3,Atom02_4,Atom5_1,Atom5_2,Atom5_3,Atom5_4,Atom10_1,Atom10_2,Atom10_3,Atom10_4,Atom20_1,Atom20_2,Atom20_3,Atom20_4,Atom30_1,Atom30_2,Atom30_3,Atom30_4,Atom40_1,Atom40_2,Atom40_3,Atom40_4,Atom50_1,Atom50_2,Atom50_3,Atom50_4,Atom60_1,Atom60_2,Atom60_3,Atom60_4,Atom70_1,Atom70_2,Atom70_3,Atom70_4,Atom80_1,Atom80_2,Atom80_3,Atom80_4
OTU_847,0,0,0,0,8,0,0,0,0,0,1,5,0,0,0,0,10,0,0,0,1,0,0,0,1,0,0,0,15,0,0,1,0,0,1,0,0,0,1,0
OTU_1959,7,7,8,12,5,4,3,1,10,8,4,4,2,3,6,9,7,5,3,0,3,7,5,4,0,3,5,6,4,3,5,0,3,3,2,3,3,2,6,6
OTU_304,35,33,28,23,32,30,26,11,26,38,30,20,37,27,25,34,24,37,23,4,46,42,27,32,39,60,58,60,62,77,56,17,78,78,70,50,69,45,51,47
OTU_693,0,0,5,4,0,4,6,6,19,7,9,0,12,5,2,3,0,7,3,14,11,5,13,0,10,3,2,2,1,5,6,15,20,6,12,10,7,2,0,1
OTU_117,28,22,19,32,30,21,16,7,16,19,28,7,17,14,19,10,15,35,14,7,23,15,14,18,22,9,14,11,14,18,12,7,15,11,13,7,17,30,22,26
OTU_6404,1,1,3,1,0,1,2,0,5,3,5,0,4,1,2,3,0,0,1,1,4,3,4,0,5,2,2,3,0,2,1,1,9,2,7,8,4,0,0,1
OTU_84,8,6,9,17,23,15,11,5,18,18,11,19,10,18,21,20,26,19,16,7,16,21,22,16,11,15,17,19,20,17,19,14,23,22,15,16,16,14,13,14
OTU_2072,2,1,1,1,4,3,1,1,0,3,1,2,3,2,1,1,3,1,2,1,4,1,3,1,3,6,5,5,6,8,1,2,6,7,1,9,5,2,4,2
OTU_276,10,8,2,6,2,3,0,3,4,5,3,1,3,2,7,3,3,3,4,2,3,1,3,3,2,1,1,1,4,2,5,3,2,2,1,1,0,1,1,3
OTU_358,9,9,3,6,0,8,3,3,3,2,2,2,2,5,3,2,4,3,2,5,7,4,8,3,4,11,7,7,0,4,5,6,3,2,0,2,8,1,3,4
OTU_154,8,10,10,3,7,11,8,13,10,9,8,5,14,12,11,16,8,10,9,21,5,8,11,15,20,22,7,7,9,9,15,17,13,7,8,18,23,18,16,15
